Name,Code,Factoid ID,Location,Pleiades,Geonames,Source,Source loc,Description in PBW,RELEVEN location type,Date,Dating authority,Outside source,Notes
Bohemond,61,373013,Avlon (Albania),,,Anna Komnene,48.38,Avlon (Albania): invaded and burned the area of Avlon (Albania),Specifies presence,,,,
Bohemond,61,373014,Kanina (Albania),,https://www.geonames.org/3185265,Anna Komnene,48.40,Kanina (Albania): set fire to the city of Kanina (Albania),Specifies presence,,,,
Bohemond,61,373015,Hiericho (Albania),,,Anna Komnene,48.40,Hiericho (Albania): burned the city of Hiericho (Albania),Specifies presence,,,,
Bohemond,61,373016,Butrinto,,,Anna Komnene,117.32,Butrinto: captured Avlon and then met up with his father at Butrinto,Specifies presence,,,,
Bohemond,61,373017,Dyrrachion,https://pleiades.stoa.org/places/573193,,Anna Komnene,147.2,Dyrrachion: was granted as his inheritance cities and islands conquered by his father in the region of Dyrrachion,Does not specify presence,J 1082,Editor,,
Bohemond,61,373018,Avlon (Albania),,,Anna Komnene,147.2,Avlon (Albania): was granted as his inheritance cities and islands conquered by his father in the region of Avlon (Albania),Does not specify presence,J 1082,Editor,,
Bohemond,61,373019,Ioannina,,,Anna Komnene,149.57,Ioannina: built a new citadel at Ioannina,Specifies presence,,,,
Bohemond,61,373020,Bagenetia,,,Anna Komnene,149.57,Bagenetia: travelled to Ioannina via Bagenetia,Specifies presence / Specifies presence near,1083,Editor,,
Bohemond,61,373021,"Pologos (Pologoi, Polobos, Poloboi, Macedonia)",,,Anna Komnene,153.73,"Pologos (Pologoi, Polobos, Poloboi, Macedonia): sent <Petros 15002> to attack the two Pologoi (two towns)",Does not specify presence,J 1082-1083 [TAQ],Editor,,winter 1082/83
Bohemond,61,373022,Skopje (Macedonia),https://pleiades.stoa.org/places/481987,,Anna Komnene,153.74,Skopje (Macedonia): sent <Pounteses 101> to attack Skopje (Macedonia),Does not specify presence,J 1082-1083 [TAQ],Editor,,winter 1082/83
Bohemond,61,373023,Ohrid,https://pleiades.stoa.org/places/481900,,Anna Komnene,153.75,Ohrid: was invited by the inhabitants but failed to take Ohrid,Specifies presence near,J 1082-1083 [TAQ],Editor,,winter 1082/83
Bohemond,61,373027,Ostrobos (Bulgaria),,https://www.geonames.org/728509,Anna Komnene,153.77,Ostrobos (Bulgaria): was repulsed empty-handed after attempting to take Ostrobos (Bulgaria),Specifies presence near,J 1082-1083 [TAQ],Editor,,winter 1082/83
Bohemond,61,373028,Berroia (Macedonia),,,Anna Komnene,153.78,Berroia: left Ostrobos and took his army through Soskos and Servia to Berroia,Specifies presence,J 1082-1083 [TAQ],Editor,,winter 1082/83
Bohemond,61,373029,Soskos,,,Anna Komnene,153.78,Soskos: left Ostrobos and took his army towards Berroia by way of Soskos,Specifies presence,J 1082-1083 [TAQ],Editor,,winter 1082/83
Bohemond,61,373030,Servia (Macedonia),https://pleiades.stoa.org/places/491676,,Anna Komnene,153.78,Servia: left Ostrobos and took his army towards Berroia by way of Servia,Specifies presence,J 1082-1083 [TAQ],Editor,,winter 1082/83
Bohemond,61,373031,Bodena,https://pleiades.stoa.org/places/491585,,Anna Komnene,153.79,Bodena: left Berroia and took his army towards Moglena by way of Bodena,Specifies presence,J 1082-1083 [TAQ],Editor,,winter 1082/83
Bohemond,61,373032,Moglena (Macedonia),,,Anna Komnene,153.80,Moglena: left Berroia and advanced his army as far as Moglena,Specifies presence / Specifies presence near,J 1082-1083 [TAQ],Editor,,"Moglena is (at least today) a municipality, so this is not a specified place."
Bohemond,61,373033,Moglena (Macedonia),,,Anna Komnene,153.80,Moglena: rebuilt a small fortification and left count <Sarakenos 15001> to guard Moglena,Does not specify presence,J 1082-1083 [TAQ],Editor,,winter 1082/83
Bohemond,61,373034,Asprai Ekklesiai,,,Anna Komnene,153.82-83,Asprai Ekklesiai: left Moglena and took his army on to Asprai Ekklesiai,Does not specify presence,J 1082-1083 [TAQ],Editor,,winter 1082/83
Bohemond,61,373035,Vardar,https://pleiades.stoa.org/places/491534,,Anna Komnene,153.82,Vardar: spent three months in Asprai Ekklesiai on the Vardar,Specifies presence,J 1082-1083 [TAQ],Editor,,winter 1082/83
Bohemond,61,373036,Asprai Ekklesiai,,,Anna Komnene,153.81-88,"Asprai Ekklesiai: foiled the plot hatched by the counts <Pounteses 101>, Gelielmos (<Guillaume 15002>) and Renaldos (<Renaud 15001>), who planned to defect to <Alexios 1> from his camp at  Asprai Ekklesiai",Specifies presence,J 1082-1083 [TAQ],Editor,,winter 1082/83
Bohemond,61,373037,Kastoria (Macedonia),,https://www.geonames.org/735927,Anna Komnene,153.92,Kastoria: left Asprai Ekklesiai and moved his army on to Kastoria,Specifies presence,J 1082-1083 [TAQ],Editor,,winter 1082/83
Bohemond,61,373038,Larissa (Thessaly),https://pleiades.stoa.org/places/540905,,Anna Komnene,153.95,"Larissa: left Kastoria and moved his army onwards, intending to winter at Larissa",Specifies presence / Specifies presence near,J 1082-1083 [TAQ],Editor,,winter 1082/83
Bohemond,61,373039,Pelagonia (Macedonia),https://pleiades.stoa.org/places/481953,,Anna Komnene,154.8-9,"Pelagonia (Macedonia): taking advantage of <Alexios 1>'s absence, sent a detachment of armed knights and took Pelagonia (Macedonia)",Does not specify presence,,,,
Bohemond,61,373040,Trikala,,,Anna Komnene,154.9,"Trikala: taking advantage of <Alexios 1>'s absence, sent a detachment of armed knights and took Trikala",Does not specify presence,,,,
Bohemond,61,373041,Kastoria (Macedonia),,https://www.geonames.org/735927,Anna Komnene,154.9,"Kastoria: taking advantage of <Alexios 1>'s absence, sent a detachment of armed knights and took Kastoria",Does not specify presence,,,,
Bohemond,61,373042,Tzibiskos,,,Anna Komnene,154.11-12,"Tzibiskos: was with his army at Trikala, but sent a detachment on to take Tzibiskos",Does not specify presence,,,,
Bohemond,61,373043,Larissa (Thessaly),https://pleiades.stoa.org/places/540905,,Anna Komnene,154.12,Larissa: arrived at the walls of Larissa,Specifies presence near,"J 1083, April 23",Editor,,"""on the festival of St. George the Martyr"". He besieged Larissa but he wasn't at this point in the town, so specifies NEAR."
Bohemond,61,373044,Salabrias,,,Anna Komnene,158.47,Salabrias: heard that his army had been defeated by <Alexios 1>'s ruse whilst eating grapes and making puns in Greek on an island on the Salabrias,Specifies presence,,,,
Bohemond,61,373045,Larissa (Thessaly),https://pleiades.stoa.org/places/540905,,Anna Komnene,159.68,Larissa: having once been defeated by <Alexios 1> made a new stand centred on a wooded plain called the Palace of Domenikos near Larissa,Specifies presence near,,,,
Bohemond,61,373046,Salabrias,,,Anna Komnene,160.2,Salabrias: pursued <Alexios 1>'s troops all the way from a defile in a wooded plain near Larissa to the Salabrias,Specifies presence / Specifies presence near,,,,
Bohemond,61,373047,Kastoria (Macedonia),,https://www.geonames.org/735927,Anna Komnene,161.26,"Kastoria: retreated from Larissa to Avlon, leaving Bryennios (<Bryennios 102>) in charge of Kastoria",Does not specify presence,,,,
Bohemond,61,373048,"Pologos (Pologoi, Polobos, Poloboi, Macedonia)",,,Anna Komnene,161.26,"Pologos (Pologoi, Polobos, Poloboi, Macedonia): retreated from Larissa to Avlon, leaving <Petros 15002> in charge of the Pologoi (two towns)",Does not specify presence,,,,
Bohemond,61,373049,Avlon (Albania),,,Anna Komnene,161.27,retreated to Avlon (Albania),Specifies presence,,,,
Bohemond,61,373050,Salerno (Italy),,,Anna Komnene,175.21,Salerno (Italy): left Avlon to return to his father at Salerno (Italy),Specifies presence,,,,
Bohemond,61,373051,Apros,https://pleiades.stoa.org/places/507367,,Anna Komnene,317.16,Apros: went ahead with a small escort to Constantinople from Apros,Specifies presence,"J 1097, April",Editor,,
Bohemond,61,373052,Kabalion (Albania),,,Anna Komnene,304.24,Kabalion (Albania): crossed the Adriatic and landed with his counts and a large Crusading army at Kabalion (Albania),Specifies presence,,,,
Bohemond,61,373053,Boouse (Albania),,,Anna Komnene,304.26,Boouse (Albania): crossed the Adriatic and landed with his counts and a large Crusading army at Kabalion near the river Boouse,Specifies presence near,,,,
Bohemond,61,373055,Constantinople: Kosmidion,,,Anna Komnene,318.37,Constantinople: Kosmas & Damianos at Paulinou: lodged whilst a guest of <Alexios 1> at  Kosmas and Damianos at Paulinou,Specifies presence,,,,
Bohemond,61,373058,Nicaea,https://pleiades.stoa.org/places/511268,,Anna Komnene,322.7,Nicaea: devised a pincer movement to attack the Turkish-occupied city of Nicaea,Does not specify presence,,,,
Bohemond,61,373059,Dorylaion,https://pleiades.stoa.org/places/609367,,Anna Komnene,330.83,Dorylaion: led the vanguard of <Tatikios 61>' army and advanced far ahead of the main contingent whilst on the plain of Dorylaion,Specifies presence / Specifies presence near,,,,
Bohemond,61,373061,Antioch (on the Orontes),https://pleiades.stoa.org/places/658381,,Anna Komnene,334.85,Antioch: attacked and took the city of Antioch,Specifies presence,"J 1098, July",Editor,,
Bohemond,61,373062,Antioch (on the Orontes),https://pleiades.stoa.org/places/658381,,Anna Komnene,342.37,Antioch: took full control as commander of Antioch,Dignity,,,,
Bohemond,61,433484,Trikala,,,Anna Komnene,160.7,Trikala: two parts of his army ended up at Trikala,Does not specify presence,,,,
Bohemond,61,433485,Kastoria (Macedonia),,https://www.geonames.org/735927,Anna Komnene,160.10,Kastoria (Macedonia): went from Larissa via Trikala to Kastoria,Does not specify presence,,,,"Anna does not specify that it wa Bohemond who left for Larissa, but his army, which does not mean that Bohemond was present there."
Bohemond,61,435548,Laodikeia (Syria),https://pleiades.stoa.org/places/668290,,Anna Komnene,352.79,Laodikeia (Syria): refused to make peace with <Manuel 62> at Laodikeia,Specifies presence,,,,
Bohemond,61,435580,Laodikeia (Syria),https://pleiades.stoa.org/places/668290,,Anna Komnene,355.79,Laodikeia (Syria): attacked <Kantakouzenos 101> as he besieged Laodikeia,Specifies presence,,,,
Bohemond,61,435599,Rome,https://pleiades.stoa.org/places/423025,,Anna Komnene,356.25,Rome: sailed from Antioch to Rome,Does not specify presence,,,,"This is a sail from Antioch to Rome, but not presence in Rome."
Bohemond,61,435614,Pisa,,,Anna Komnene,359.21,"Pisa: In order to gather forces against <Alexios 1>, he visited many places, including Pisa",Does not specify presence,,,,"Anna's text does not even say that Bohemond visited Pisa nor Venice, and certainly not in order to gather forces there! She mentions only that Alexios sent letters to these cities, and that Bohemond visited ALL cities, which is a literary trope, she does not mentioned he actually visited exactly Pisa and Venice."
Bohemond,61,435615,Venice,https://pleiades.stoa.org/places/818739154,,Anna Komnene,359.21,"Venice: In order to gather forces against <Alexios 1>, he visited many places, including Venice",Does not specify presence,,,,"Anna's text does not even say that Bohemond visited Pisa nor Venice, and certainly not in order to gather forces there! She mentions only that Alexios sent letters to these cities, and that Bohemond visited ALL cities, which is a literary trope, she does not mentioned he actually visited exactly Pisa and Venice."
Bohemond,61,227444,Antioch (on the Orontes),https://pleiades.stoa.org/places/658381,,Glykas,623.1,Antioch (on the Orontes): besieged and captured Antioch (on the Orontes),Specifies presence / Specifies presence near,,,,
Bohemond,61,339766,Larissa (Thessaly),https://pleiades.stoa.org/places/540905,,Lavra,258.4,Larissa (Thessaly): attacked with his armies the kastron of Larissa (Thessaly),Specifies presence near,,,,
Bohemond,61,447939,Melitene,https://pleiades.stoa.org/places/629039,,Ralph of Caen,141,Melitene: was captured as he was trying to relieve Melitene,Specifies presence,,,,
Bohemond,61,233031,Ohrid,https://pleiades.stoa.org/places/481900,,"Theophylaktos of Ohrid, Letters",555.29,Ohrid: raided the region of Ohrid,Specifies presence,,,,
Bohemond,61,233032,"Mokra, Mount (Macedonia)",,,"Theophylaktos of Ohrid, Letters",555.30,"Mokra, Mount (Macedonia): ravaged Mokra, Mount (Macedonia)",Specifies presence,,,,
Bohemond,61,233033,Bagora (Albania),,,"Theophylaktos of Ohrid, Letters",555.31,Bagora (Albania): occupied Bagora (Albania),Specifies presence,,,,
Bohemond,61,247204,Antioch (on the Orontes),https://pleiades.stoa.org/places/658381,,Zonaras,18.25.1,Antioch in Coele Syria: resided at and took by seige Antioch in Coele Syria,Specifies presence,,,,
Bohemond,61,247205,Dyrrachion,https://pleiades.stoa.org/places/573193,,Zonaras,18.25.4,Dyrrachion: crossed to and tried to sack Dyrrachion,Specifies presence near,,,,
Bohemond,61,247206,Dyrrachion,https://pleiades.stoa.org/places/573193,,Zonaras,18.25.5,Dyrrachion: despaired of the capture of Dyrrachion,Does not specify presence,,,,
Boktos,101,227990,Boianos (Bulgaria),,https://www.geonames.org/732995,Kekaumenos,120.1,Boianos (Bulgaria): led the Bulgarian troops defending the kastron of Boianos (Bulgaria),Specifies presence / Specifies presence near,,,,
Boril,61,433022,Constantinople: Forum of Constantine,,,Anna Komnene,86.35-36,Constantinople: Forum of Constantine: drew up the Varangians and their allies from the Milion to the Forum of Constantine,Specifies presence,,,,
Chatatourios,61,234608,Antioch (on the Orontes),https://pleiades.stoa.org/places/658381,,Attaleiates: History,136.23-137.1 / 102.25,Antioch (on the Orontes): served as doux of Antioch (on the Orontes),Dignity,,,,
Chatatourios,61,234609,"Mopsuestia (Missis(a), Cilicia)",https://pleiades.stoa.org/places/658538,,Attaleiates: History,137.3 / 103.2,"Mopsuestia (Missis(a), Cilicia): was ordered to attack the Turks expected to march through Mopsuestia (Missis(a), Cilicia)",Does not specify presence,,,,
Chatatourios,61,234692,Cilicia,https://pleiades.stoa.org/places/981514,,Attaleiates: History,172.13 / 127.24,"Cilicia: left Tyropoion to collect troops, spend the winter, and receive the sultan's envoys in Cilicia",Specifies presence,,,,
Chatatourios,61,234690,Antioch (on the Orontes),https://pleiades.stoa.org/places/658381,,Attaleiates: History,172.2 / 127.15,Antioch (on the Orontes): served as katepano of Antioch (on the Orontes),Dignity,,,,
Chatatourios,61,234691,Tyropoion (Cappadocia),,,Attaleiates: History,172.4-5 / 127.17,Tyropoion (Cappadocia): arrived with a great force to fight against <Romanos 4> at Tyropoion (Cappadocia),Specifies presence / Specifies presence near,,,,
Chatatourios,61,248631,Cilicia,https://pleiades.stoa.org/places/981514,,Psellos: Chronographia,VIIb 34.11-12,Cilicia: led <Romanos 4> to  Cilicia,Specifies presence,,,,
Chatatourios,61,247057,"Mopsuestia (Missis(a), Cilicia)",https://pleiades.stoa.org/places/658538,,Zonaras,18.12.7,"Mopsuestia (Missis(a), Cilicia): was commanded to go to and engage with Turks there Mopsuestia (Missis(a), Cilicia)",Does not specify presence,,,,
Chatatourios,61,247078,Cilicia,https://pleiades.stoa.org/places/981514,,Zonaras,18.15.12,Cilicia: taking <Romanos 4> and leading him to Cilicia,Specifies presence,,,,
Christodoulos,101,279500,Kos,https://pleiades.stoa.org/places/599581,,Patmos: Acts,2.38.376,Kos: exchanged for Patmos his property on the island of Kos,Does not specify presence,,,,
Christodoulos,101,279501,Patmos,https://pleiades.stoa.org/places/599872,,Patmos: Acts,"2.38.378, 77.3",Patmos: requested and was granted by the emperor (<Alexios 1>) the entire island of Patmos,Does not specify presence,,,,
Christodoulos,101,279503,"Latros, Mount",https://pleiades.stoa.org/places/599753,,Patmos: Acts,"1.33.7, 2.38.376, 51.9","Latros, Mount: dwelt on Latros, Mount",Specifies presence,,,,
Christodoulos,101,279508,Patmos,https://pleiades.stoa.org/places/599872,,Patmos: Acts,2.39.398,Patmos: arrived with <Georgios 217> on the island of Patmos,Specifies presence,,,,
Christodoulos,101,279511,Leros (Aegean),https://pleiades.stoa.org/places/599764,,Patmos: Acts,2.51.8,Leros (Aegean): was granted by the emperor (<Alexios 1>) properties on the island of Leros (Aegean),Does not specify presence,,,,
Christodoulos,101,279513,Pantelion (Leros),,https://www.geonames.org/255874,Patmos: Acts,2.51.6,Pantelion (Leros): was granted by the emperor (<Alexios 1>) half of the kastron of Pantelion (Leros),Does not specify presence,,,,
Christodoulos,101,279516,Temenia (Leros),,,Patmos: Acts,2.51.7,Temenia (Leros): was granted by the emperor (<Alexios 1>) the proasteion of Temenia (Leros),Does not specify presence,,,,
Christodoulos,101,279517,Parthenion (Leros),,https://www.geonames.org/255718,Patmos: Acts,2.51.7,Parthenion (Leros): was granted by the emperor (<Alexios 1>) the proasteion of Parthenion (Leros),Does not specify presence,,,,
Christodoulos,101,279537,Pantelion (Leros),,https://www.geonames.org/255874,Patmos: Acts,2.58.157,Pantelion (Leros): was granted by the emperor's mother (<Anna 61>) the other half of the kastron of Pantelion (Leros),Does not specify presence,,,,
Christodoulos,101,279545,Latros: Stylos,,,Patmos: Acts,2.77.2,Latros: Stylos: was hegoumenos of  Stylos,Dignity,,,,
Christodoulos,101,279592,Kos,https://pleiades.stoa.org/places/599581,,Patmos: Acts,1.33.14,Kos: was granted by <Nikephoros 3> 2 properties on Kos,Does not specify presence,,,,
Christodoulos,101,279594,Kos,https://pleiades.stoa.org/places/599581,,Patmos: Acts,1.33.14,Kos: received a chrysobull from <Alexios 1> confirming to him the properties granted by <Nikephoros 3> on Kos,Does not specify presence,,,,
Christodoulos,101,279595,Kos: Kastriana,,,Patmos: Acts,1.33.24,Kos: Kastriana: founded a monastery deidcated to the Theotokos at  Kastriana,Does not specify presence,,,,
Christodoulos,101,279608,Leipsos (Aegean),,https://www.geonames.org/258260,Patmos: Acts,1.45.30,Leipsos (Aegean): requested from <Alexios 1> and was granted the entire island of Leipsos (Aegean),Does not specify presence,,,,
Christodoulos,101,279609,Parthenion (Leros),,https://www.geonames.org/255718,Patmos: Acts,1.45.31,Parthenion (Leros): requested from <Alexios 1> and was granted the proasteion of Parthenion (Leros),Does not specify presence,,,,
Christodoulos,101,279610,Temenia (Leros),,,Patmos: Acts,1.45.31-32,Temenia (Leros): requested from <Alexios 1> and was granted the proasteion of Temenia (Leros),Does not specify presence,,,,
Christodoulos,101,279611,Pantelion (Leros),,https://www.geonames.org/255874,Patmos: Acts,1.45.32-33,Pantelion (Leros): requested from <Alexios 1> and was granted one half of the proasteion of Pantelion (Leros),Does not specify presence,,,,
Christodoulos,101,279613,Patmos,https://pleiades.stoa.org/places/599872,,Patmos: Acts,1.59,Patmos: decided to settle on Patmos,Specifies presence,,,,
Christodoulos,101,279614,Patmos,https://pleiades.stoa.org/places/599872,,Patmos: Acts,1.59,Patmos: requested and was granted by <Alexios 1> the island of Patmos,Does not specify presence,,,,"Of course, Christodoulos was the priest who founded this monastery, but in those specific parts of the text he is not mentioned as present."
Christodoulos,101,279618,Leros (Aegean),https://pleiades.stoa.org/places/599764,,Patmos: Acts,1.61.20,Leros (Aegean): was allowed by <Alexios 1> to keep his properties on the island of Leros (Aegean),Does not specify presence,,,,
Christodoulos,101,279619,Leipsos (Aegean),,https://www.geonames.org/258260,Patmos: Acts,1.61.20,Leipsos (Aegean): was allowed by <Alexios 1> to keep the island of Leipsos (Aegean),Does not specify presence,,,,
Christodoulos,101,341759,"Latros, Mount",https://pleiades.stoa.org/places/599753,,Patmos: Testament,81,"Latros, Mount: was a monk on Latros, Mount",Dignity,J 1093 [TAQ],Aleksandar,,"This document was produced in 1093, March 10 and 15."
Christodoulos,101,341760,"Latros, Mount",https://pleiades.stoa.org/places/599753,,Patmos: Testament,81,"Latros, Mount: came from Latros, Mount",Specifies presence,J 1093 [TAQ],Aleksandar,,"This document was produced in 1093, March 10 and 15."
Christodoulos,101,341761,Patmos,https://pleiades.stoa.org/places/599872,,Patmos: Testament,81,Patmos: owned by imperial gift the island of Patmos,Does not specify presence,J 1093 [TAQ],Aleksandar,,"Of course, Christodoulos was the priest who founded this monastery, but in those specific parts of the text he is not mentioned as present.. This document was produced in 1093, March 10 and 15."
Christodoulos,101,341762,Leipsos (Aegean),,https://www.geonames.org/258260,Patmos: Testament,81,Leipsos (Aegean): owned by imperial gift the island of Leipsos (Aegean),Does not specify presence,J 1093 [TAQ],Aleksandar,,"This document was produced in 1093, March 10 and 15."
Christodoulos,101,341763,Parthenion (Leros),,https://www.geonames.org/255718,Patmos: Testament,81,Parthenion (Leros): owned and disposed of in his testament the estate of Parthenion (Leros),Does not specify presence,J 1093 [TAQ],Aleksandar,,"This document was produced in 1093, March 10 and 15."
Christodoulos,101,341767,Patmos,https://pleiades.stoa.org/places/599872,,Patmos: Testament,81,Patmos: wished to build a church to Ioannes the Evangelist and a monastery on Patmos,Does not specify presence,J 1093 [TAQ],Aleksandar,,"This document was produced in 1093, March 10 and 15."
Christodoulos,101,341768,Patmos,https://pleiades.stoa.org/places/599872,,Patmos: Testament,82,Patmos: designated <Arsenios 107> his successor as master of his monastery on Patmos,Dignity,J 1093 [TAQ],Aleksandar,,"This document was produced in 1093, March 10 and 15."
Christodoulos,101,341773,Patmos,https://pleiades.stoa.org/places/599872,,Patmos: Testament,82,Patmos: disposed of his possessions (livestock?) on Patmos,Does not specify presence,J 1093 [TAQ],Aleksandar,,"This document was produced in 1093, March 10 and 15."
Christodoulos,101,341774,Parthenion (Leros),,https://www.geonames.org/255718,Patmos: Testament,82,Parthenion (Leros): disposed of his possessions (livestock?) on the estate of Parthenion (Leros),Does not specify presence,J 1093 [TAQ],Aleksandar,,"This document was produced in 1093, March 10 and 15."
Christodoulos,101,341775,Leipsos (Aegean),,https://www.geonames.org/258260,Patmos: Testament,82,Leipsos (Aegean): disposed of his possessions (livestock?) on Leipsos (Aegean),Does not specify presence,J 1093 [TAQ],Aleksandar,,"This document was produced in 1093, March 10 and 15."
Christodoulos,101,341779,Patmos,https://pleiades.stoa.org/places/599872,,Patmos: Testament,82,Patmos: bequeathed his four boats to his monastery on Patmos,Does not specify presence,J 1093 [TAQ],Aleksandar,,"This document was produced in 1093, March 10 and 15."
Christodoulos,101,341780,Patmos,https://pleiades.stoa.org/places/599872,,Patmos: Testament,82,Patmos: designated <Theodosios 14102> his second choice as leader of the monastery on Patmos,Dignity,J 1093 [TAQ],Aleksandar,,"This document was produced in 1093, March 10 and 15."
Christodoulos,101,341783,Patmos,https://pleiades.stoa.org/places/599872,,Patmos: Testament,82,"Patmos: granted <Arsenios 107>, if he came, full right and dominion over the monastery on Patmos",Does not specify presence,J 1093 [TAQ],Aleksandar,,"This document was produced in 1093, March 10 and 15."
Christodoulos,101,341786,Patmos,https://pleiades.stoa.org/places/599872,,Patmos: Testament,82,"Patmos: directed <Theodosios 14102> to come, be tonsured and direct the monastery on Patmos",Does not specify presence,J 1093 [TAQ],Aleksandar,,"This document was produced in 1093, March 10 and 15."
Christodoulos,101,341787,Patmos,https://pleiades.stoa.org/places/599872,,Patmos: Testament,82,Patmos: forbade <Theodosios 14102> to introduce any of his relatives into the monastery on Patmos,Does not specify presence,J 1093 [TAQ],Aleksandar,,"This document was produced in 1093, March 10 and 15."
Christodoulos,101,341798,Patmos,https://pleiades.stoa.org/places/599872,,Patmos: Testament,83,Patmos: listed the monks who remained in the monastery on Patmos,Does not specify presence,J 1093 [TAQ],Aleksandar,,"This document was produced in 1093, March 10 and 15."
Christodoulos,101,341799,Patmos,https://pleiades.stoa.org/places/599872,,Patmos: Testament,83,Patmos: ruled that <Theodosios 14102> should have the same authority as he in the monastery on Patmos,Does not specify presence,J 1093 [TAQ],Aleksandar,,"This document was produced in 1093, March 10 and 15."
Christodoulos,101,341800,Patmos,https://pleiades.stoa.org/places/599872,,Patmos: Testament,83,"Patmos: ruled that <Zoilos 14101>, <Kyrillos 14101>, <Loukas 14101> must not oppose <Theodosios 14102> in the monastery on  Patmos",Does not specify presence,J 1093 [TAQ],Aleksandar,,"This document was produced in 1093, March 10 and 15."
Christodoulos,101,341805,Patmos,https://pleiades.stoa.org/places/599872,,Patmos: Testament,83,Patmos: left all his books to the monastery on Patmos,Does not specify presence,J 1093 [TAQ],Aleksandar,,"This document was produced in 1093, March 10 and 15."
Christodoulos,101,341807,Patmos,https://pleiades.stoa.org/places/599872,,Patmos: Testament,83,"Patmos: excluded <Theophanes 14101>, <Epiphanios 14101>, <Ioannes 14108> from his monastery on Patmos",Does not specify presence,J 1093 [TAQ],Aleksandar,,"This document was produced in 1093, March 10 and 15."
Christodoulos,101,341811,Patmos,https://pleiades.stoa.org/places/599872,,Patmos: Testament,83,Patmos: bequeathed to <Theodoretos 14101> nine chiata nomismata from his monastery on Patmos,Does not specify presence,J 1093 [TAQ],Aleksandar,,"This document was produced in 1093, March 10 and 15."
Christodoulos,101,341813,Patmos,https://pleiades.stoa.org/places/599872,,Patmos: Testament,84,Patmos: bequeathed the icons that he had in Euripos to the monastery on Patmos,Does not specify presence,J 1093 [TAQ],Aleksandar,,"This document was produced in 1093, March 10 and 15."
Christodoulos,101,341814,Patmos,https://pleiades.stoa.org/places/599872,,Patmos: Testament,84,Patmos: left another icon of the Mother of God to the monastery on Patmos,Does not specify presence,J 1093 [TAQ],Aleksandar,,"This document was produced in 1093, March 10 and 15."
Christodoulos,101,341815,Patmos,https://pleiades.stoa.org/places/599872,,Patmos: Testament,84,Patmos: ordered <Theodosios 14102> to receive fugitive monks who returned to the monastery on Patmos,Does not specify presence,J 1093 [TAQ],Aleksandar,,"This document was produced in 1093, March 10 and 15."
Christodoulos,101,341778,Euripos,,,Patmos: Testament,83-4,Euripos: had icons with him at Euripos,Specifies presence,J 1093 [TAQ],Aleksandar,,"This document was produced in 1093, March 10 and 15."
Christodoulos,101,341695,Patmos,https://pleiades.stoa.org/places/599872,,Patmos: Typikon,59,Patmos: laid down a rule for his disciples in his monastery on Patmos,Does not specify presence,J 1091 [TAQ],Aleksandar,,This document was produced in May 1091.
Christodoulos,101,341696,East,,,Patmos: Typikon,60,East: originated from the East,Does not specify presence,J 1091 [TAQ],Aleksandar,,This document was produced in May 1091.
Christodoulos,101,341697,Palestine,,,Patmos: Typikon,60,Palestine: in order to venerate Christ's steps went to Palestine,Specifies presence,J 1091 [TAQ],Aleksandar,,This document was produced in May 1091.
Christodoulos,101,341698,Palestine,,,Patmos: Typikon,60,Palestine: moved to and settled for some time in the most desolate parts of Palestine,Specifies presence,J 1091 [TAQ],Aleksandar,,This document was produced in May 1091.
Christodoulos,101,341699,Palestine,,,Patmos: Typikon,60,Palestine: after the Saracen invasion fled from Palestine,Specifies presence,J 1091 [TAQ],Aleksandar,,This document was produced in May 1091.
Christodoulos,101,341700,"Latros, Mount",https://pleiades.stoa.org/places/599753,,Patmos: Typikon,60,"Latros, Mount: came to Latros, Mount",Specifies presence,J 1091 [TAQ],Aleksandar,,This document was produced in May 1091.
Christodoulos,101,341701,"Latros, Mount",https://pleiades.stoa.org/places/599753,,Patmos: Typikon,61,"Latros, Mount: lived in a coenobitic community on Latros, Mount",Specifies presence,J 1091 [TAQ],Aleksandar,,This document was produced in May 1091.
Christodoulos,101,341702,"Latros, Mount",https://pleiades.stoa.org/places/599753,,Patmos: Typikon,62,"Latros, Mount: was entrusted by <Kosmas 11> with  Latros, Mount",Does not specify presence,J 1091 [TAQ],Aleksandar,,This document was produced in May 1091.
Christodoulos,101,341704,Strobilos (Caria),https://pleiades.stoa.org/places/599965,,Patmos: Typikon,62,Strobilos (Caria): went to Strobilos (Caria),Specifies presence,J 1091 [TAQ],Aleksandar,,This document was produced in May 1091.
Christodoulos,101,341707,Strobilos (Caria),https://pleiades.stoa.org/places/599965,,Patmos: Typikon,62,Strobilos (Caria): was offered <Arsenios 107>'s monastery at Strobilos (Caria),Does not specify presence,J 1091 [TAQ],Aleksandar,,This document was produced in May 1091.
Christodoulos,101,341709,Kos,https://pleiades.stoa.org/places/599581,,Patmos: Typikon,62,Kos: was begged by <Arsenios 107> to cross to and found a monastery on the latter's estates on Kos,Does not specify presence,J 1091 [TAQ],Aleksandar,,This document was produced in May 1091.
Christodoulos,101,341710,Kos,https://pleiades.stoa.org/places/599581,,Patmos: Typikon,62,Kos: swiftly visited  Kos,Specifies presence,J 1091 [TAQ],Aleksandar,,This document was produced in May 1091.
Christodoulos,101,341712,Kos: Pelion,,,Patmos: Typikon,63,Kos: Pelion: thought that he would remain there until he died and bequeath his body to  Pelion,Specifies presence,J 1091 [TAQ],Aleksandar,,This document was produced in May 1091.
